"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","906","0 Romsey Circle, Dorchester, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",802,440,1459
"885","1 Lincoln St, Boston, MA","907","0 Gene Street, Dorchester, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1195,805,1771
"885","1 Lincoln St, Boston, MA","908","0 Monadnock Street, Dorchester, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1317,938,1849
"885","1 Lincoln St, Boston, MA","909","500 Squire Road, Revere","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1510,1005,2268
"885","1 Lincoln St, Boston, MA","911","200 Garfield Avenue, Revere","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1339,921,1945
"885","1 Lincoln St, Boston, MA","912","100 Crest Avenue, Revere","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1474,1174,1849
"885","1 Lincoln St, Boston, MA","913","0 Petrel Street, Winthrop","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1570,1254,1965
"885","1 Lincoln St, Boston, MA","915","Head Island Causeway, South Boston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",886,572,1370
"885","1 Lincoln St, Boston, MA","916","0 Lee Burbank Highway, Revere","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1254,837,1877
"885","1 Lincoln St, Boston, MA","917","Emerald Necklace, Jamaica Plain, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1378,953,1992
"885","1 Lincoln St, Boston, MA","927","0 Mill River Drive, Weymouth","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2110,1463,3042
"885","1 Lincoln St, Boston, MA","930","0 Constitution Avenue, Revere","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1298,876,1922
"885","1 Lincoln St, Boston, MA","941","0 Providence Street, Union HIll, Worcester","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3736,3170,4402
"885","1 Lincoln St, Boston, MA","942","0 Sterling Street, Worcester","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3517,3123,3960
"885","1 Lincoln St, Boston, MA","943","Jefferson Saint Extension, Fall River","8/28/2017 - 9/24/2017, Weekdays, PM Peak",5213,4055,6701
"885","1 Lincoln St, Boston, MA","944","100 Cliff Road, Wellesley Hills, Wellesley","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1908,1426,2551
"885","1 Lincoln St, Boston, MA","949","0 Pleasant Street, Auburn","8/28/2017 - 9/24/2017, Weekdays, PM Peak",4269,3273,5568
"885","1 Lincoln St, Boston, MA","951","0 Montgomery Drive, Millbury","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3816,3006,4844
"885","1 Lincoln St, Boston, MA","952","0 Potter Hill Road, Grafton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3990,3071,5183
