"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","896","300 Columbia Street, Wellington-Harrington, Cambridge","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1459,996,2136
"885","1 Lincoln St, Boston, MA","898","0 Webster Street, Hyde Park, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1991,1594,2486
"885","1 Lincoln St, Boston, MA","899","0 Watts Street, Chelsea","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1383,879,2175
"885","1 Lincoln St, Boston, MA","900","0 Boatswains Way, Chelsea","4/7/2017 - 5/21/2017, Weekdays, PM Peak",982,631,1527
"885","1 Lincoln St, Boston, MA","901","0 Willoughby Street, Chelsea","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1358,938,1964
"885","1 Lincoln St, Boston, MA","902","0 Centre Street, Roxbury, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1157,825,1621
"885","1 Lincoln St, Boston, MA","903","0 Gaston Street, Roxbury, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1432,1042,1967
"885","1 Lincoln St, Boston, MA","904","0 Wolcott Street, Dorchester, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1641,1180,2280
"885","1 Lincoln St, Boston, MA","905","100 Geneva Avenue, Dorchester, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1453,1008,2094
"885","1 Lincoln St, Boston, MA","906","0 Romsey Circle, Dorchester, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",792,458,1369
"885","1 Lincoln St, Boston, MA","907","0 Gene Street, Dorchester, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1171,791,1732
"885","1 Lincoln St, Boston, MA","908","0 Monadnock Street, Dorchester, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1296,865,1941
"885","1 Lincoln St, Boston, MA","909","500 Squire Road, Revere","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1487,1036,2132
"885","1 Lincoln St, Boston, MA","911","200 Garfield Avenue, Revere","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1386,930,2063
