"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","247","0 Bowdoin Avenue, Dorchester, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1803,1259,2582
"885","1 Lincoln St, Boston, MA","248","0 Evans Street, West Codman Hill / West Lower Mills, Dorchester Center, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1705,1171,2482
"885","1 Lincoln St, Boston, MA","249","200 River Street, Mattapan, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1860,1147,3014
"885","1 Lincoln St, Boston, MA","250","0 Gretter Road, West Roxbury, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2122,1653,2723
"885","1 Lincoln St, Boston, MA","251","0 Grotto Glen Road, Jamaica Plain, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1612,1194,2175
"885","1 Lincoln St, Boston, MA","252","0 Grove Street, West Roxbury, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2867,2303,3567
"885","1 Lincoln St, Boston, MA","253","0 Kimball Road, Chelsea","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1034,672,1589
"885","1 Lincoln St, Boston, MA","254","1200 North Shore Road, Revere","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1588,1163,2167
"885","1 Lincoln St, Boston, MA","255","Rosedale Avenue, Forest Hills / Woodbourne, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1929,1404,2649
"885","1 Lincoln St, Boston, MA","261","0 6th Street, Arefth, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1235,843,1807
"885","1 Lincoln St, Boston, MA","268","0 Congress Street, Salem","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2978,2455,3611
"885","1 Lincoln St, Boston, MA","270","0 Sugar Hill Circle, Methuen","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2848,2041,3973
"885","1 Lincoln St, Boston, MA","273","500 Trull Road, North Tewksbury, Tewksbury","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2746,2008,3753
"885","1 Lincoln St, Boston, MA","274","0 Jensen Avenue, Chelmsford","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3224,2270,4577
"885","1 Lincoln St, Boston, MA","275","0 Theresa Road, Stoneham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1689,1225,2328
"885","1 Lincoln St, Boston, MA","276","0 Howard Street, Malden","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1672,1201,2326
"885","1 Lincoln St, Boston, MA","277","0 Edwin H Land Boulevard, East Cambridge, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1038,682,1579
"885","1 Lincoln St, Boston, MA","279","200 Seminole Avenue, Lakeview, Waltham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2195,1517,3174
"885","1 Lincoln St, Boston, MA","280","0 Linder Terrace, Hunnewell Hill, Newton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",983,640,1509
"885","1 Lincoln St, Boston, MA","281","0 Meadowbrook Road, Quincy","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1591,1128,2243
"885","1 Lincoln St, Boston, MA","282","0 Pleasant View Avenue, Braintree","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1803,1081,3006
"885","1 Lincoln St, Boston, MA","283","0 Squibnocket Road, Franklin","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3980,2983,5308
"885","1 Lincoln St, Boston, MA","285","100 Foster Street, Brighton, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1536,1100,2143
"885","1 Lincoln St, Boston, MA","286","0 Border Street, East Boston, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",861,553,1339
"885","1 Lincoln St, Boston, MA","287","0 Murray Way, South Boston, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1019,653,1589
"885","1 Lincoln St, Boston, MA","288","0 Wakullah Street, Roxbury, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1145,785,1669
"885","1 Lincoln St, Boston, MA","289","500 Baker Street, West Roxbury, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2320,1858,2895
"885","1 Lincoln St, Boston, MA","290","100 Tremont Street, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",357,121,1053
"885","1 Lincoln St, Boston, MA","293","0 Osgood Street, Salem","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2711,2319,3169
"885","1 Lincoln St, Boston, MA","294","0 Chelsea Street, East Boston, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",893,598,1331
"885","1 Lincoln St, Boston, MA","296","0 Cleverly Court, Quincy","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2047,1385,3025
"885","1 Lincoln St, Boston, MA","297","100 Arlington Street, Bay Village, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",464,155,1383
"885","1 Lincoln St, Boston, MA","298","100 Whitford Street, Roslindale, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2283,1669,3121
"885","1 Lincoln St, Boston, MA","299","0 Round Hill Street, Jamaica Plain, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1392,1034,1872
"885","1 Lincoln St, Boston, MA","301","0 John J Brady Drive, Framingham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2608,1932,3519
"885","1 Lincoln St, Boston, MA","302","0 Leon Street, Fenway/Kenmore, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1109,788,1559
"885","1 Lincoln St, Boston, MA","303","200 Old County Road, East Sandwich, Sandwich","4/3/2017 - 5/27/2017, Weekdays, PM Peak",4685,3865,5678
"885","1 Lincoln St, Boston, MA","306","0 Massachusetts 114, Peabody","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2257,1974,2580
