"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","224","0 Evans Lane, Norfolk","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3525,2903,4279
"885","1 Lincoln St, Boston, MA","225","0 Longmeadow Drive, Westwood","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2326,1633,3312
"885","1 Lincoln St, Boston, MA","226","0 Everett Avenue, Norwood","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3205,2469,4159
"885","1 Lincoln St, Boston, MA","227","1100 Commonwealth Avenue, Allston, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1309,899,1905
"885","1 Lincoln St, Boston, MA","228","200 Central Avenue, Milton","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1493,989,2252
"885","1 Lincoln St, Boston, MA","229","100 Main Street, Quincy","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2106,1518,2921
"885","1 Lincoln St, Boston, MA","230","0 Saddle Row, Plainville","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3169,2334,4302
"885","1 Lincoln St, Boston, MA","231","100 Pearl Street, Stoughton","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2654,1853,3799
"885","1 Lincoln St, Boston, MA","232","0 Free Street, Hingham","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2440,1858,3203
"885","1 Lincoln St, Boston, MA","233","100 Mann Lot Road, Scituate","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3299,2653,4101
"885","1 Lincoln St, Boston, MA","237","Fall River Expressway, Brockton","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2807,2104,3744
"885","1 Lincoln St, Boston, MA","241","100 Colborne Road, Brighton, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1439,1026,2018
"885","1 Lincoln St, Boston, MA","242","0 Park Street, Charlestown, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",867,554,1355
"885","1 Lincoln St, Boston, MA","243","0 San Juan Street, South End, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",674,439,1033
"885","1 Lincoln St, Boston, MA","244","500 Columbus Avenue, South End, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",838,578,1214
"885","1 Lincoln St, Boston, MA","245","100 Saint Alphonsus Street, Mission Hill, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1226,912,1646
"885","1 Lincoln St, Boston, MA","246","300 Mount Vernon Street, Dorchester, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",932,554,1566
"885","1 Lincoln St, Boston, MA","247","0 Bowdoin Avenue, Dorchester, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1728,1296,2302
"885","1 Lincoln St, Boston, MA","248","0 Evans Street, West Codman Hill / West Lower Mills, Dorchester Center, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1689,1127,2530
"885","1 Lincoln St, Boston, MA","249","200 River Street, Mattapan, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1825,1199,2777
"885","1 Lincoln St, Boston, MA","250","0 Gretter Road, West Roxbury, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2151,1668,2772
"885","1 Lincoln St, Boston, MA","251","0 Grotto Glen Road, Jamaica Plain, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1473,1088,1993
"885","1 Lincoln St, Boston, MA","252","0 Grove Street, West Roxbury, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2583,1881,3546
"885","1 Lincoln St, Boston, MA","253","0 Kimball Road, Chelsea","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1094,674,1773
